"","ctylabel","date","newtar","fdignp","gdp_pc_95d","polityiv_update2","usheg","lnpop"
"1","Turkey",1970,43.0303085552786,0.320958536853215,1633.10913085938,8,0.27561292052269,17.3799877166748
"2","Turkey",1971,46.0159891967623,0.257689100860228,1680.92553710938,-2,0.267898082733154,17.4056129455566
"3","Turkey",1972,54.4682340340941,0.195489269144662,1763.10961914062,-2,0.267186164855957,17.4315452575684
"4","Turkey",1973,37.9005811820577,0.279036760123231,1766.71569824219,9,0.257417380809784,17.4572200775146
"5","Turkey",1974,35.8078539080094,0.165773575893583,1805.45568847656,9,0.255622565746307,17.4818344116211
"6","Turkey",1975,31.2825520396897,0.238295813971249,1897.93188476562,9,0.24888813495636,17.5050144195557
"7","Turkey",1976,33.9263501116903,0.0184928330418981,2059.96264648438,9,0.256521612405777,17.5269165039062
"8","Turkey",1977,32.3144602371736,0.0438569670256236,2087.64086914062,9,0.255827814340591,17.5474491119385
"9","Turkey",1978,32.1628069787405,0.0501582025112996,2076.6689453125,9,0.259173780679703,17.5674934387207
"10","Turkey",1979,29.3502248028974,0.0810275117800571,2019.75415039062,9,0.249924808740616,17.5883255004883
"11","Turkey",1980,43.6787373915075,0.0258095686716997,1958.61242675781,-5,0.243417471647263,17.6106395721436
"12","Turkey",1981,45.0234805406344,0.131698124700684,2001.05517578125,-5,0.259311199188232,17.63427734375
"13","Turkey",1982,52.3735897809786,0.0842492792428207,2021.96850585938,-5,0.255800783634186,17.6591682434082
"14","Turkey",1983,40,0.0744349081966911,2070.76245117188,7,0.26550218462944,17.6840629577637
"15","Turkey",1984,22,0.186915032830521,2146.58520507812,7,0.29880091547966,17.7089424133301
"16","Turkey",1985,24.7000007629395,0.146183449724041,2196.53100585938,7,0.295243144035339,17.7332363128662
"17","Turkey",1986,31.3999996185303,0.164724334861922,2308.45825195312,7,0.288656324148178,17.7559261322021
"18","Turkey",1987,26.6000003814697,0.131265384175184,2473.48779296875,7,0.273409217596054,17.7776374816895
"19","Turkey",1988,22.7000007629395,0.390173862023129,2471.70849609375,7,0.275646895170212,17.799352645874
"20","Turkey",1989,14.5121150721773,0.610754863373582,2422.205078125,9,0.278538733720779,17.8210601806641
"21","Turkey",1990,12.1022363756992,0.449114668857373,2589.09106445312,9,0.26083317399025,17.8431091308594
"22","Turkey",1991,29.5319518010093,0.532886163993872,2571.515625,9,0.258987247943878,17.8596839904785
